codigo_puesto_unico,zona_codigo,puesto_codigo,nombre_puesto_dashboard,nombre_puesto_base,nombres_puesto_base_variantes,nombre_puesto_ideca,nombre_sitio,localidad_codigo,localidad,direccion,latitud,longitud,estado_geocodificacion,fuente_geografica,templo_principal,total_testigos,lideres_activos,beneficiarios_mesas_trabajo,referidos_activos_lideres,lideres_ref_0,lideres_ref_1_5,lideres_ref_6_9,lideres_ref_10_mas,pct_lideres_activos,pct_beneficiarios_mesas_trabajo,numero_puesto_ideca
160010127,01,27,Colegio Colsubsidio Norte,COLEGIO COLSUBSIDIO NORTE USAQUEN,COLEGIO COLSUBSIDIO NORTE USAQUEN,Colegio Colsubsidio Norte,Colegio Colsubsidio Norte Usaquén,01,Usaquén,CLL 151 # 15 - 70,4.732726000000014,-74.040596,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,ORQUÍDEAS,17,14,3,209,1,4,3,6,82.4,17.6,27
160010128,01,28,Parque Alta Blanca,COLEGIO GENERAL SANTANDER USAQUEN,COLEGIO GENERAL SANTANDER USAQUEN,Parque Alta Blanca,Colegio General Santander Usaquén,01,Usaquén,CRA 8A # 158 - 04,4.7344863150000265,-74.02905375300003,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,ORQUÍDEAS,17,13,4,123,2,4,2,5,76.5,23.5,28
160010129,01,29,Colegio Distrital Toberín Sede B,"COLEGIO TOBERIN ""B""","COLEGIO TOBERIN ""B""",Colegio Distrital Toberín Sede B,"Colegio Toberín ""B""",01,Usaquén,CRA 14 C # 164 - 75,4.743051999999977,-74.035909,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,ORQUÍDEAS,24,19,4,132,5,4,3,7,79.2,16.7,29
160010130,01,30,Colegio Distrital Friedrich Nauman Sede A,COLEGIO FRIEDRICH NAUMANN SEDE A,COLEGIO FRIEDRICH NAUMANN SEDE A,Colegio Distrital Friedrich Nauman Sede A,Colegio Friedrich Nauman Sede A,01,Usaquén,"CLL 171 B # 6 B - 16 /
CRA 6 C # 171 - 39",4.748363572000017,-74.022625715,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,LIJACÁ,3,3,1,40,0,1,0,2,100.0,33.3,30
160010131,01,31,Colegio Distrital Friedrich Nauman Sede B,COLEGIO FRIEDRICH NAUMANN SEDE B,COLEGIO FRIEDRICH NAUMANN SEDE B,Colegio Distrital Friedrich Nauman Sede B,Colegio Friedrich Nauman Sede B,01,Usaquén,"CLL 181 # 6 - 03 /
CLL 182 # 6 - 30",4.758461226999998,-74.02542927500002,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,LIJACÁ,6,6,2,42,1,1,1,3,100.0,33.3,31
160010132,01,32,Colegio Santa María,VERBENAL SANTA MARIA,VERBENAL SANTA MARIA,Colegio Santa María,Verbenal Santa María,01,Usaquén,CRA 11 # 185 B - 17,4.762672442999985,-74.03284929900002,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,LIJACÁ,18,17,5,177,2,5,2,8,94.4,27.8,32
160010133,01,33,Colegio Distrital Salud Coop Norte,COLEGIO DISTRITAL SALUDCOOP NORTE,COLEGIO DISTRITAL SALUDCOOP NORTE,Colegio Distrital Salud Coop Norte,Colegio Distrital Saludcoop Norte,01,Usaquén,CLL 181 # 18 B - 83,4.75760600000001,-74.040412,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,LIJACÁ,22,19,3,118,5,6,4,4,86.4,13.6,33
160010136,01,36,Colegio San Francisco de Asis,COLEGIO SAN FRANCISCO CL 186,COLEGIO SAN FRANCISCO CL 186,Colegio San Francisco de Asis,Colegio San Francisco CLL 186,01,Usaquén,CLL 186 # 7 - 52,4.7628659380000045,-74.02816666799998,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,LIJACÁ,32,32,10,256,5,7,6,14,100.0,31.2,36
160010137,01,37,Colegio Buen Consejo,COLEGIO BUEN CONSEJO,COLEGIO BUEN CONSEJO,Colegio Buen Consejo,Colegio Buen Consejo,01,Usaquén,"CLL 104 # 17 - 22
entrada por la CLL 105 con CRA 17",4.689973843000018,-74.04904849299999,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,SUBA - PRADO,3,3,1,9,0,2,1,0,100.0,33.3,37
160010138,01,38,Vía Pública Universidad Militar,UNIVERSIDAD MILITAR,UNIVERSIDAD MILITAR,Vía Pública Universidad Militar,Universidad Militar,01,Usaquén,CRA 11 con CLL 101 Esquina,4.683697676000008,-74.04260518900003,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,SANTA LUCÍA (BTA),2,2,0,22,0,0,0,2,100.0,0.0,38
160010139,01,39,Colegio La Estrellita (antes Don Bosco III),COLEGIO LA ESTRELLITA,COLEGIO LA ESTRELLITA,Colegio La Estrellita (antes Don Bosco III),Colegio La Estrellita,01,Usaquén,"CRA 26 # 187 B - 37 /
CLL 187C # 4A - 30 /
CRA 4 # 187 D - 09",4.764576003000002,-74.024494156,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,LIJACÁ,9,9,0,39,0,7,1,1,100.0,0.0,39
160010140,01,40,Colegio Esclavas del Sagrado Corazón,COLEGIO ESCLAVAS DEL SAGRADO CORAZON,COLEGIO ESCLAVAS DEL SAGRADO CORAZON,Colegio Esclavas del Sagrado Corazón,Colegio Esclavas del Sagrado Corazón,01,Usaquén,"CLL 175 # 20 A - 26
Entrada por detrás del CC PANAMA",4.755656316,-74.04309304200001,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,ORQUÍDEAS,12,12,3,82,0,7,2,3,100.0,25.0,40
160010141,01,41,Colegio Cardenal Sancha,COLEGIO CARDENAL SANCHA,COLEGIO CARDENAL SANCHA,Colegio Cardenal Sancha,Colegio Cardenal Sancha,01,Usaquén,CLL 127 B Bis # 21 - 02,4.7097559979999915,-74.050939787,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,SUBA - PRADO,4,4,0,21,0,2,1,1,100.0,0.0,41
160010142,01,42,Colegio Campestre San José,COLEGIO CAMPESTRE SAN JOSE,COLEGIO CAMPESTRE SAN JOSE,Colegio Campestre San José,Colegio Campestre San José,01,Usaquén,CLL 128 B # 20 - 80,4.713207823000005,-74.049557784,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,SUBA - PRADO,8,8,0,79,1,4,0,3,100.0,0.0,42
160010143,01,43,Colegio PROVINMA,COLEGIO PROVINMA,COLEGIO PROVINMA,Colegio PROVINMA,Colegio PROVINMA,01,Usaquén,CLL 145 # 11 - 40,4.723774542000001,-74.03497694800001,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,CEDRITOS,5,4,1,15,2,1,0,1,80.0,20.0,43
160010144,01,44,Colegio Eucarístico Guadalupe,COLEGIO EUCARISTICO VILLA GUADALUPE,COLEGIO EUCARISTICO VILLA GUADALUPE,Colegio Eucarístico Guadalupe,Colegio Eucarístico Guadalupe,01,Usaquén,CLL 170 #17A- 32,4.750282140000024,-74.04120595299997,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,ORQUÍDEAS,17,15,5,192,4,5,0,6,88.2,29.4,44
160010145,01,45,Colegio Anglo Americano,ANGLO AMERICANO,ANGLO AMERICANO,Colegio Anglo Americano,Anglo Americano,01,Usaquén,"CLL 170 # 8 - 80 /
CLL 170 # 8 - 70",4.747961735999979,-74.02898538599999,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,LIJACÁ,7,4,2,15,0,3,1,0,57.1,28.6,45
160010146,01,46,Colegio Privado Pureza de María,COLEGIO PUREZA DE MARIA,COLEGIO PUREZA DE MARIA,Colegio Privado Pureza de María,Colegio Pureza de María,01,Usaquén,CRA 7  # 147 - 02,4.722543735999977,-74.026030386,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,CEDRITOS,8,7,1,19,3,2,1,1,87.5,12.5,46
160010147,01,47,Centro Comercial Belaire Plaza,CENTRO COMERCIAL BELAIRE PLAZA,CENTRO COMERCIAL BELAIRE PLAZA,Centro Comercial Belaire Plaza,Centro Comercial Belaire Plaza,01,Usaquén,CRA 7 # 152 - 54,4.726914064000027,-74.024456698,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,ORQUÍDEAS,2,2,0,7,1,0,1,0,100.0,0.0,47
