codigo_puesto_unico,zona_codigo,puesto_codigo,zona_operativa,templo_sector,nombre_puesto_dashboard,nombre_puesto_base,nombres_puesto_base_variantes,nombre_puesto_ideca,nombre_sitio,localidad_codigo,localidad,direccion,latitud,longitud,estado_geocodificacion,fuente_geografica,total_testigos,lideres_activos,beneficiarios_mesas_trabajo,referidos_activos_lideres,lideres_ref_0,lideres_ref_1_5,lideres_ref_6_9,lideres_ref_10_mas,pct_lideres_activos,pct_beneficiarios_mesas_trabajo,numero_puesto_ideca
160011850,18,50,SUR,SANTA LUCÍA (BTA),Colegio Distrital Alianza Quiroga,ALIANZA QUIROGA,ALIANZA QUIROGA,Colegio Distrital Alianza Quiroga,Alianza Quiroga,18,Rafael Uribe Uribe,CRA 23 # 35 - 20 Sur,4.579603237000015,-74.117287428,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,1,1,0,3,0,1,0,0,100.0,0.0,50
160011851,18,51,SUR,SANTA LUCÍA (BTA),Colegio Distrital Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,ESTADOS UNIDOS DE AMERICA,Colegio Distrital Estados Unidos de América,Estados Unidos de América,18,Rafael Uribe Uribe,CLL 22 Sur # 22 - 65 / CLL 22 Sur # 24 B - 65,4.584815526999989,-74.106008148,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,2,2,1,31,0,1,0,1,100.0,50.0,51
160011851,18,51,SUR,SANTANDER,Colegio Distrital Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,ESTADOS UNIDOS DE AMERICA,Colegio Distrital Estados Unidos de América,Estados Unidos de América,18,Rafael Uribe Uribe,CLL 22 Sur # 22 - 65 / CLL 22 Sur # 24 B - 65,4.584815526999989,-74.106008148,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,3,2,0,1,1,1,0,0,66.7,0.0,51
160011853,18,53,SUR,SANTA LUCÍA (BTA),Colegio Distrital Liceo Femenino Mercedes Nariño,LICEO FEMENINO MERCEDES NARIÑO,LICEO FEMENINO MERCEDES NARIÑO,Colegio Distrital Liceo Femenino Mercedes Nariño,Liceo Femenino Mercedes Nariño,18,Rafael Uribe Uribe,"AV CRA 14 # 23 - 24 Sur /
CRA 14 # 22A - 24 Sur",4.58055906200002,-74.10338391200003,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,1,1,1,2,0,1,0,0,100.0,100.0,53
160011853,18,53,SUR,SANTANDER,Colegio Distrital Liceo Femenino Mercedes Nariño,LICEO FEMENINO MERCEDES NARIÑO,LICEO FEMENINO MERCEDES NARIÑO,Colegio Distrital Liceo Femenino Mercedes Nariño,Liceo Femenino Mercedes Nariño,18,Rafael Uribe Uribe,"AV CRA 14 # 23 - 24 Sur /
CRA 14 # 22A - 24 Sur",4.58055906200002,-74.10338391200003,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,1,1,0,7,0,0,1,0,100.0,0.0,53
160011856,18,56,SUR,EL SOSIEGO,Colegio Distrital  Restrepo Millán Sede A,COLEGIO  RESTREPO MILLAN SEDE  A,COLEGIO  RESTREPO MILLAN SEDE  A,Colegio Distrital  Restrepo Millán Sede A,Colegio  Restrepo Millán Sede A,18,Rafael Uribe Uribe,CLL 40 Sur # 23 - 25,4.579301704999978,-74.12087787000002,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,1,1,0,3,0,1,0,0,100.0,0.0,56
160011856,18,56,SUR,SANTA LUCÍA (BTA),Colegio Distrital  Restrepo Millán Sede A,COLEGIO  RESTREPO MILLAN SEDE  A,COLEGIO  RESTREPO MILLAN SEDE  A,Colegio Distrital  Restrepo Millán Sede A,Colegio  Restrepo Millán Sede A,18,Rafael Uribe Uribe,CLL 40 Sur # 23 - 25,4.579301704999978,-74.12087787000002,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,3,3,1,24,2,0,0,1,100.0,33.3,56
160011857,18,57,SUR,LA VICTORIA,IDIPRON UPI Molinos (Unidad de Prevención Infantil),FE Y ALEGRIA ONG,FE Y ALEGRIA ONG,IDIPRON UPI Molinos (Unidad de Prevención Infantil),IDIPRON UPI Molinos,18,Rafael Uribe Uribe,CRA 5 A Bis # 48N-48 Sur,4.553168190000008,-74.10886904699998,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,1,1,0,10,0,0,0,1,100.0,0.0,57
160011857,18,57,SUR,SAN VICENTE FERRER,IDIPRON UPI Molinos (Unidad de Prevención Infantil),FE Y ALEGRIA ONG,FE Y ALEGRIA ONG,IDIPRON UPI Molinos (Unidad de Prevención Infantil),IDIPRON UPI Molinos,18,Rafael Uribe Uribe,CRA 5 A Bis # 48N-48 Sur,4.553168190000008,-74.10886904699998,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,1,1,1,3,0,1,0,0,100.0,100.0,57
160011857,18,57,SUR,SANTA LUCÍA (BTA),IDIPRON UPI Molinos (Unidad de Prevención Infantil),FE Y ALEGRIA ONG,FE Y ALEGRIA ONG,IDIPRON UPI Molinos (Unidad de Prevención Infantil),IDIPRON UPI Molinos,18,Rafael Uribe Uribe,CRA 5 A Bis # 48N-48 Sur,4.553168190000008,-74.10886904699998,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,1,0,1,0,0,0,0,0,0.0,100.0,57
